Auckland,Christchurch,Dunedin,Hamilton,Lower Hutt,North Shore,Tauranga,Waitakere,Wellington
10.949000000000002,5.436,0.643,8.138,7.9449999999999985,10.949000000000002,8.902000000000001,10.949000000000002,7.9449999999999985
11.711,7.258999999999999,3.119,9.602,9.536,11.711,10.161,11.711,9.536
11.914,7.925,5.269,10.461,10.028,11.914,10.465,11.914,10.028
13.666,9.379,7.590999999999998,12.748,11.675999999999998,13.666,12.609000000000002,13.666,11.675999999999998
15.431,11.454,10.569,14.84,13.512,15.431,14.512,15.431,13.512
16.605,12.815,12.145,16.302,14.588,16.605,15.518,16.605,14.588
16.901999999999994,11.463,10.804,16.62,14.201,16.901999999999994,15.728,16.901999999999994,14.201
17.317999999999998,12.092,11.35,16.854000000000006,14.773,17.317999999999998,15.857,17.317999999999998,14.773
17.820999999999998,12.248,10.515,16.691,15.085,17.820999999999998,16.079,17.820999999999998,15.085
16.77,11.424,7.789,15.049,14.069,16.77,14.869000000000002,16.77,14.069
13.407,7.528,3.18,10.992,10.293,13.407,11.335,13.407,10.293
13.021,6.371,0.6960000000000001,10.109,9.606,13.021,10.81,13.021,9.606
11.357,5.954999999999999,0.6940000000000002,8.545,8.465,11.357,9.355,11.357,8.465
10.948,5.756,1.605,8.648,8.249,10.948,9.232,10.948,8.249
13.365,9.825,7.287000000000001,12.101,11.592,13.365,12.277,13.365,11.592
13.465,9.862,8.746,12.726,11.716,13.465,12.613,13.465,11.716
15.731,11.306,9.993,15.057,13.31,15.731,14.848,15.731,13.31
18.246,13.103,11.489,17.988999999999994,15.970999999999998,18.246,17.28,18.246,15.970999999999998
17.901,13.327,12.619000000000002,17.697,15.671,17.901,16.695,17.901,15.671
17.448,12.287,11.588,16.874000000000002,14.562,17.448,15.924,17.448,14.562
18.136,12.992,10.648,17.212,15.615,18.136,16.497999999999998,18.136,15.615
14.961999999999998,9.991,7.164,13.196,12.32,14.961999999999998,13.02,14.961999999999998,12.32
14.944,9.822,5.082,12.733,12.354,14.944,12.867,14.944,12.354
12.379,5.835,0.2390000000000001,9.496,8.975999999999997,12.379,10.239,12.379,8.975999999999997
11.364999999999998,5.247000000000001,-0.119,8.479,8.149,11.364999999999998,9.263,11.364999999999998,8.149
11.324000000000002,6.237,2.207,9.107,8.646,11.324000000000002,9.548,11.324000000000002,8.646
13.273,9.269,6.614,11.979,11.317,13.273,11.989,13.273,11.317
13.446000000000002,9.666,8.443,12.579,11.625,13.446000000000002,12.196000000000002,13.446000000000002,11.625
15.883,10.309,9.196,15.314,13.424,15.883,14.654000000000002,15.883,13.424
17.119,12.533,11.708,16.93,14.853,17.119,16.032,17.119,14.853
